电影名,score,类型,上映时间,时长,tagline,简介
猛虎战车,71.0,战争/动作/剧情,2026-01-02,117,简介,东线战场，1943年：一支德国虎式坦克乘员组被派往敌后，执行一项极其危险的任务。在穿越致命的无人地带时，他们不仅要面对敌军的威胁，也不得不直面内心的恶魔。
惩罚者,64.0,动作/犯罪/剧情,2004-06-10,124,"There is no justice, there is only revenge.",弗兰克·卡斯特（托马斯·简 Thomas Jane 饰）的生命中，绝大部分时间都在于死神赛跑。早年在海军陆战队服役，退役后又进入FBI。在枪炮火光中生活了多年之后，弗兰克不愿再整日收到死亡的威胁，家人整日为他担惊受怕。所以，他决定提前退休与妻儿享受平静的生活。可是，在最后的一次任务中，却因意外使一名无辜青年死亡。而这名青年的父亲却是坦帕市的大富商霍华德·桑特（约翰·特拉沃塔 John Travolta 饰）。为了给儿子报仇，霍华德向黑市发出了对弗兰克一家的绞杀令。不过弗兰克却侥幸在这场浩劫中存活下来。为了报仇，弗兰克不再寄望于法制，而是全副武装向霍华德发起挑战。面对霍华德组建的私人军队，弗兰克凭一己之力将如何应对？ ©豆瓣
Village of the Dead,30.0,冒险/恐怖/悬疑,2025-12-31,95,简介,"Four hikers become trapped in a mysterious village after getting lost in a mountain foot market said to be an interdimensional gateway. There, the world turns strange—graveyards with no headstones, grinning bald figures, puppets with no puppeteer, and cult rituals dancing atop corpses. It all leads to one chilling truth: those who are trapped can never leave. The village is preparing a dark ritual to fill the hamlet with the dead. Faced with harrowing choices, can they survive—and make it home alive?"
你我在托斯卡纳,73.0,爱情/喜剧,2026-04-10,105,She came for the pasta and got lost in the sauce.,一位女子误入一栋无人看管的意大利别墅，并假扮成主人的未婚妻暂住于此。在那里，她迎来了一场意想不到的浪漫邂逅，而这段关系可能会彻底改变她的人生。
极速车王,80.0,剧情/动作/历史,2019-11-14,152,超极限90天打造世界级赛车 24小时魔鬼赛程 挑战勒芒赛道,基于真实故事，聚焦由汽车设计师卡罗尔·谢尔比带领的一队美国工程师、设计师，以及他旗下的英国车手肯·迈尔斯，亨利·福特二世要求谢尔比打造一辆全新的赛车，希望能在 1966 年的勒芒世界锦标赛上打败长期占主导地位的法拉利。最终福特 GT40 在勒芒 24 小时耐力赛中成功击败法拉利，并蝉联了 1967 和 1968 年的冠军。
错误,62.0,剧情,2025-12-19,107,Tirahin mo nang patalikod,"Erik Matti’s classic Ekis gets a bold reboot with an all-girls ensemble led by Angela Morena, Cheena Dizon, and Aliya Raymundo. A crew of female thugs launches a kidnap-for-ransom plot, but when things go wrong, escaping the chaos becomes impossible."
鬼市,56.0,恐怖/惊悚,2025-09-17,96,简介,在看似无关的经历交织在一起的关系中，各种相似得令人毛骨悚然的角色故事。 其中包括老人试图伤害村里的神秘守护树、执着于偷看邻居包裹的白领工人、为送女儿上医学院而与幽灵做交易的母亲、不顾后辈反对坚持独自办案的高级警官、试图通过恐怖探险内容在社交媒体上博取名声的大学生。
X计划,69.0,喜剧,2012-03-02,88,The party you've only dreamed about.,汤玛斯（汤玛斯·曼 Thomas Mann 饰）要过生日了，他在学校里的两个好友科斯塔（奥利弗·库珀 Oliver Cooper 饰）和JB（乔纳森·丹尼尔·布朗 Jonathan Daniel Brown 饰）打算为他筹办一场最疯狂的party，洗刷掉三人的屌丝身份。趁汤玛斯父母出去度周末，三人开始着手准备，他们向高中所有能接触到的同学发出了邀请，用假身份证买了酒，还搞来了摇头丸。入夜，原本担心无人前来的三人看着一波波人潮心花怒放，尤其是其中还有许多陌生美女，令三人更加荷尔蒙爆棚。人越来越多，派对也越来越疯狂，邻居投诉不断，无法阻止人们上楼和进父亲书房……汤玛斯感到越来越不安，但是科斯塔始终鼓动他享受疯狂，随着近两千人聚集，事态再也非三个少年能掌控……
飓风营救3,63.0,惊悚/动作,2015-01-07,109,终极反击 为爱绝杀,连姆·尼森所扮演的硬汉特工布赖恩与前妻诺尔破镜重圆，岂料好景不长。诺尔在家里被谋杀，而布赖恩成了杀妻凶手。带着满腔的愤怒，布赖恩以熟练的身手躲开CIA，FBI和警方的追捕。这一次，布赖恩将会运用他的特别技巧寻找真正的凶手，以独特的方法伸张正义，并保护唯一一个对他对最重要的人——他的女儿小金。
功夫梦,66.0,动作/冒险/剧情/家庭,2010-06-11,130,一场始料未及的挑战，一位意想不到的导师。,本片根据好莱坞1984年的同名电影翻拍而成。12岁的德瑞·帕克随母亲由底特律搬家至中国北京，认识了同校拉小提琴的中国女孩美莹。德瑞与美莹的交往引起了学校以程为首的小团体的不满，在一次打斗中，处于劣势的德瑞被公寓管理员老韩所救，却得罪了程的武术老师李师傅。老韩与李师傅约定，由徒弟们在比武大会上一较高下。从此，德瑞师承老韩开始学习中国功夫，从拳脚练习到个性修炼，一点点领会武术及人生的真谛，同时也与老韩建立了深厚的友谊。
诺比特,57.0,喜剧,2007-02-08,102,Have you ever made a really big mistake?,黑人青年诺比特（艾迪·墨菲 Eddie Murphy 饰）的身世颇为不幸，他从小被父母抛弃，全靠一个经营餐馆和孤儿院的中国人老王（Eddie Murphy 饰）将其养育成人。诺比特经常受到小伙伴们的欺负，只有美丽的凯特是他最好的伙伴，两人童年时甚至举行了幼稚可爱的结婚仪式。当然，并非所有美好的故事都有美好的结局。诺比特的婚姻可谓一场悲剧。他的妻子不是凯特，而是体型巨大、堪以吨计的超级肥婆拉丝普蒂娅（Eddie Murphy 饰）。拉丝普蒂娅颟顸粗鲁，性格暴躁，诺比特在她的“领导”下唯唯诺诺，苦不堪言。某天，命运之神忽然降临。括别多年的凯特（Thandie Newton 饰）再次回到小镇，这让诺比特看到新的希望……
尖峰时刻2,68.0,动作/喜剧/犯罪,2001-08-03,90,Get ready for a second Rush!,李督察（成龙 饰）和从洛杉矶赶来香港度假的老搭档詹姆斯•卡特（克里斯•塔克 Chris Tucker 饰）真是一刻不得闲，因美国领事馆遭到炸弹袭击，两名工作人员身亡，李督察只得带上卡特去拜访三合会头目、也是自己父亲的昔日搭档邓力奇（尊龙 饰），邓力奇的手下胡莉（章子怡 饰）等人先后出面袭击李与卡特，不久李被美国方面禁止参与此案，而香港警局也遭到了炸弹袭击。失散的李和卡特分别来到了邓力奇的游艇，得知三合会出现了内讧，话音刚落，胡莉将邓力奇射杀在海中……暂时失去线索的二人奔赴洛杉矶，在当地大亨荣士勋家中发现了胡莉的踪迹和美国的卧底特工，原来邓、胡等人卷入了一场巨额假钞案，李与卡特决定拿回胡莉手中的印版……
海蒂和爷爷,72.0,冒险/家庭/剧情,2015-12-10,111,遇见你 治愈你,海蒂（阿努克·斯戴芬 Anuk Steffen 饰）很小就失去了父母，无依无靠伶仃飘零，所幸得到了姨妈的收留，然而，这照顾却不能够持久，最终，海蒂来到了阿尔卑斯山，投奔住在那里的爷爷（布鲁诺·甘茨 Bruno Ganz 饰）。在村民们眼中，爷爷是个倔强而又古怪的老头，对 其敬而远之，然而海蒂那双天真无邪的眼睛发现了爷爷深藏在内心的柔情，一老一少两人卸下心防，相依为命...
城中二痴,68.0,爱情/剧情/喜剧,2026-02-20,137,简介,这部电影将背景设定在物价飞涨、节奏快到令人窒息的现代孟买，讲述了两个怀揣梦想的年轻人——追求稳定的软件工程师桑迪普和渴望在时尚界出人头地的设计师阿尼娅，在一次极度尴尬的看房经历中意外相遇，面对高得离谱的房租和房东极其刻薄的背景审查，两人决定铤而走险伪装成一对恩爱的准夫妻来合租那间梦寐以求的公寓，在长达一年的同居生活中，他们不仅要应对职场上的尔虞我诈和各自原生家庭的逼婚压力，还要在日益模糊的“室友”与“恋人”界限中反复拉扯，随着孟买季风季节的到来，一场关于职业前途与真实情感的终极抉择迫使这两个在这个巨大城市里孤独生存的灵魂，重新审视在那间小小的合租房里滋生出的情愫究竟是现实的搭伙过日子，还是支撑他们在这座钢铁丛林里继续做梦的唯一动力。
性板17：男人的17种性幻想,62.0,喜剧/剧情/爱情,2017-11-13,80,This isn't a dream. Fantasies come true.,宋几何在女友劈腿分手后，久久痛苦中。邻居新搬来美女乔熙，在帮她搬东西后，乔熙对几何不断献殷勤，几乎把持不住，跟乔熙各种啪啪啪，还变换场景，女主相当漂亮，而且火辣性感，这也招来了男主好友的妒忌，一直想把男主的新女友搞到手，而乔熙背后的身世更是惊煞天人...  电影改编自一部18X的韩国漫画——17种X幻想。当然漫画尺度大得多，电影改编、压缩了一些剧情，比如女主回到过去的原因，回来后满足男主的是实现他的17种X幻想，女主回到未来还发生了一些事，都不是交代得很清楚。
神偷奶爸2,69.0,动画/喜剧/家庭,2013-07-03,99,More minions. More despicable.,自从与玛戈、伊迪丝 和阿格蕾丝 三个可爱的小女孩实现宿命的邂逅，曾经的大坏蛋格鲁 可真彻底转型了，他金盆洗手，转而化身为慈祥可亲的爸爸和做得一手烂口味布丁果冻的商人。当然凡事没有尽善尽美的，在此期间，憧憬大坏蛋传奇人生的老搭档纳法利欧博士 离他而去，另谋高就。某天，格鲁被身怀绝技却鲁莽的特工露西·王尔德 绑架，原来露西所在的集团研制出可以改变生物基因的药物，可他们位于南极的实验室被神秘窃贼偷走，因此才委托有过坏蛋经验的格鲁做卧底。经过一番考虑，格鲁接受了这项任务，带着超萌的小黄人们，和露西组成了爆笑连连的追凶搭档……
地下幻灯剧画 少女椿,61.0,动画/剧情/恐怖,1992-05-02,55,The camelia girl.,大正时代，过着无助生活的纤弱少女绿子，被异人杂技团收留，杂技团有着行为怪异的团长，大力的巨人，截去双手的木乃伊，阴险怪戾的蛇女、男扮女装的少年，脖子很长的畸形男等，绿子在团中先后不断被这些奇人异士骚扰强奸，就在她最痛苦的时候，团里来了个懂幻术的侏儒魔术师，他对绿子的友好令两人相爱，使绿子在裸露变态的杂技团找到一丝慰籍。魔术师的加入令本来无人问津的杂技团变的人气旺盛，在团中的地位也巩固起来，当绿子以为自己找到真爱的时候，因爱嫉妒的魔术师对团中侵犯过绿子的成员进行报复……
白日梦想家,72.0,冒险/喜剧/剧情/奇幻,2013-12-25,114,停止梦想，开始生活,沃特·密提 是一名在《生活》杂志工作了16年的胶片洗印经理。他性格内向，甚至无法跟心仪的同事谢莉尔 开口搭讪。面对生活他像个旁观者，时常“放空”做白日英雄梦。直到有一天公司被并购，杂志需要做最后一期的封面，而封面成功与否的关键是能否找到狂野摄影师尚恩 的一卷胶片。沃特终于开口搭讪谢莉尔，并在她和母亲 的鼓励下踏上真正的冒险之旅。 冰原、大海、喜马拉雅山……沃特的白日梦远不及现实壮丽。
怪物史瑞克3,63.0,奇幻/冒险/动画/喜剧/家庭,2007-05-18,93,He's in for the royal treatment.,“绿怪”史莱克的故事依然在延续。而这一次，爱人朋友却一个都不少。如愿和心爱的菲奥娜公主结成连理之后，史莱克终于能在众朋友的陪伴下在自己的沼泽丛林乐园里过着幸福的小日子了，然而等着他们的却是继承“远的要命王国”的国王和王后之位的使命。别说懒散成性的史莱克了，就连曾经尊贵美丽的菲奥娜公主，也分外挂念沼泽地里的泥藻谷和自由广阔的生活……
